time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1594369409.52286625,0.02682439,15058,0.00226175,0.00000000,0,0.00000000,26126,27125,1586,0.00529612
1594369409.62326384,0.02602155,15068,0.00301397,0.00000000,0,0.00000000,26898,27927,1787,0.00265859
1594369409.72367477,0.02862436,15035,0.00239681,0.00000000,0,0.00000000,27415,28635,1769,0.00262149
1594369409.82404017,0.02601201,14996,0.00265897,0.00000000,0,0.00000000,28635,29762,1800,0.00272082
1594369409.92411852,0.02625355,14916,0.00291301,0.00000000,0,0.00000000,29762,30705,1685,0.00273802
1594369410.02407837,0.01656227,14871,0.00248604,0.00000000,0,0.00000000,30705,31665,1637,0.00446382
1594369410.12391758,0.01547355,14833,0.00255524,0.00000000,0,0.00000000,31665,32516,1557,0.00306237
1594369410.22385383,0.02762495,14818,0.00291094,0.00000000,0,0.00000000,32516,32953,1356,0.00309620
1594369410.32377172,0.02249611,14813,0.00286367,0.00000000,0,0.00000000,32953,34059,1140,0.00398786
1594369410.42368746,0.02537421,14799,0.00144991,0.00000000,0,0.00000000,30789,31693,1153,0.00272740
1594369410.52371335,0.02586582,14840,0.00156217,0.00000000,0,0.00000000,31693,32625,1186,0.00263891
1594369410.62360144,0.01809852,14882,0.00179728,0.00000000,0,0.00000000,32625,33615,1294,0.00226418
1594369410.72327423,0.02548862,14969,0.00185822,0.00000000,0,0.00000000,33615,34384,1180,0.00274623
1594369410.82271934,0.02717855,15033,0.00130089,0.00000000,0,0.00000000,34384,35167,1030,0.00246887
